127.0.0.1 - - [04/Feb/2022:09:20:28 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:20:29 +0900] "GET /myapp/ HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:20:29 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:20:58 +0900] "GET /myapp/board/boardWrite.do HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:31:53 +0900] "GET /myapp/board/boardWrite.do HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:31:54 +0900] "GET /myapp/board/boardWrite.do HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:31:54 +0900] "GET /myapp/board/boardWrite.do HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:31:55 +0900] "GET /myapp/board/boardWrite.do HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:46:41 +0900] "GET /myapp/board/boardWrite.do HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:46:42 +0900] "GET /myapp/index.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:46:43 +0900] "GET /myapp/board/boardWrite.do HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:46:49 +0900] "POST /myapp/board/boardWriteAction.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:46:49 +0900] "GET /myapp/index.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:47:21 +0900] "GET /myapp/board/boardWrite.do HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:47:28 +0900] "POST /myapp/board/boardWriteAction.do HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:47:37 +0900] "GET /myapp/index.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:47:38 +0900] "GET /myapp/board/boardWrite.do HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:47:43 +0900] "POST /myapp/board/boardWriteAction.do HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:47:49 +0900] "POST /myapp/board/boardWriteAction.do HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:48:00 +0900] "POST /myapp/board/boardWriteAction.do HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:49:54 +0900] "POST /myapp/board/boardWriteAction.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:49:54 +0900] "GET /myapp/index.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:50:05 +0900] "GET /myapp/board/boardWrite.do HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [04/Feb/2022:09:50:08 +0900] "POST /myapp/board/boardWriteAction.do HTTP/1.1" 200 459
